sub_region_1,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
Aargau,10.0,12.0,4.0,4.0,-2.0,9.0,2.0,22.0,26.0,10.0,2.0,-4.0,0.0,2.0,3.0,11.0,0.0,-2.0,1.0,-5.0,-5.0,0.0,10.0,0.0,-7.0,-2.0,-5.0,-7.0,-14.0,3.0,-19.0,-37.0,-38.0,-42.0,-47.0,-54.0,-53.0,-48.0,-51.0,-50.0,-51.0,-48.0,-38.0,-56.0,-48.0,-44.0,-42.0,-42.0,-44.0,-36.0,-30.0,-38.0,-42.0,-42.0,-39.0,-59.0,-32.0,-34.0,-56.0,-43.0,-42.0,-42.0,-41.0,-31.0,-27.0,-40.0,-43.0,-40.0,-39.0,-38.0,-26.0,-24.0,-27.0,-39.0,-35.0,-39.0,-44.0,-31.0,-18.0,-29.0,-40.0,-30.0,-31.0,-32.0,-18.0,-12.0,-24.0,-23.0,-25.0
Aberdeen City,-4.0,4.0,2.0,1.0,4.0,-1.0,-3.0,3.0,18.0,1.0,6.0,6.0,5.0,7.0,9.0,16.0,8.0,4.0,1.0,2.0,2.0,3.0,10.0,1.0,3.0,-4.0,-8.0,-7.0,-11.0,-4.0,-16.0,-25.0,-28.0,-32.0,-34.0,-44.0,-44.0,-51.0,-59.0,-63.0,-67.0,-69.0,-73.0,-73.0,-68.0,-68.0,-68.0,-72.0,-70.0,-71.0,-71.0,-69.0,-65.0,-67.0,-67.0,-68.0,-64.0,-72.0,-72.0,-64.0,-65.0,-66.0,-67.0,-68.0,-65.0,-65.0,-65.0,-67.0,-66.0,-70.0,-69.0,-70.0,-68.0,-65.0,-64.0,-68.0,-67.0,-68.0,-67.0,-66.0,-65.0,-63.0,-65.0,-71.0,-68.0,-71.0,-67.0,-69.0,-66.0
Aberdeenshire,-5.0,1.0,1.0,1.0,-7.0,4.0,3.0,6.0,9.0,-8.0,1.0,-1.0,-4.0,2.0,6.0,5.0,0.0,-1.0,1.0,5.0,1.0,0.0,18.0,-5.0,-1.0,-4.0,2.0,0.0,-12.0,2.0,-8.0,-16.0,-17.0,-15.0,-21.0,-25.0,-20.0,-36.0,-56.0,-59.0,-59.0,-62.0,-66.0,-58.0,-57.0,-61.0,-60.0,-62.0,-59.0,-56.0,-55.0,-58.0,-52.0,-58.0,-55.0,-57.0,-54.0,-55.0,-61.0,-53.0,-54.0,-54.0,-54.0,-52.0,-43.0,-50.0,-48.0,-48.0,-48.0,-52.0,-47.0,-47.0,-53.0,-48.0,-51.0,-50.0,-51.0,-51.0,-49.0,-44.0,-44.0,-42.0,-43.0,-53.0,-53.0,-54.0,-48.0,-54.0,-52.0
Abia,2.0,0.0,-2.0,2.0,-13.0,-7.0,13.0,-4.0,0.0,-3.0,-2.0,-26.0,-12.0,-5.0,-17.0,-9.0,-11.0,-13.0,-22.0,-13.0,0.0,-6.0,2.0,-3.0,-8.0,-21.0,-15.0,0.0,-4.0,0.0,-10.0,-10.0,-19.0,-10.0,-5.0,-13.0,2.0,-23.0,-13.0,-35.0,-25.0,-7.0,-35.0,-29.0,-39.0,-35.0,-71.0,-68.0,-58.0,-59.0,-60.0,-65.0,-65.0,-68.0,-62.0,-40.0,-35.0,-42.0,-69.0,-62.0,-63.0,-55.0,-53.0,-43.0,-31.0,-60.0,-61.0,-64.0,-51.0,-46.0,-53.0,-56.0,-59.0,-62.0,-57.0,-56.0,-50.0,-45.0,-41.0,-35.0,-40.0,-45.0,-38.0,-28.0,-26.0,-32.0,-35.0,-32.0,-36.0
Abruzzo,9.0,26.0,7.0,5.0,1.0,5.0,7.0,8.0,20.0,2.0,-3.0,-11.0,-8.0,-11.0,-7.0,-11.0,-7.0,-10.0,-11.0,-16.0,-22.0,-31.0,-32.0,-38.0,-51.0,-60.0,-67.0,-72.0,-79.0,-86.0,-75.0,-76.0,-78.0,-79.0,-81.0,-85.0,-89.0,-83.0,-83.0,-83.0,-84.0,-85.0,-87.0,-90.0,-82.0,-81.0,-79.0,-79.0,-82.0,-86.0,-89.0,-81.0,-80.0,-80.0,-79.0,-81.0,-84.0,-92.0,-93.0,-81.0,-77.0,-78.0,-79.0,-83.0,-89.0,-80.0,-80.0,-80.0,-77.0,-76.0,-88.0,-87.0,-73.0,-74.0,-73.0,-71.0,-88.0,-78.0,-83.0,-56.0,-54.0,-60.0,-54.0,-57.0,-55.0,-64.0,-56.0,-53.0,-54.0
Abu Dhabi,-1.0,-2.0,-3.0,-2.0,-1.0,-3.0,-5.0,-2.0,-3.0,-5.0,-3.0,-3.0,-4.0,-2.0,1.0,-2.0,-4.0,-5.0,-5.0,-8.0,-15.0,-10.0,-13.0,-14.0,-15.0,-12.0,-18.0,-24.0,-20.0,-18.0,-19.0,-20.0,-24.0,-33.0,-46.0,-42.0,-44.0,-45.0,-48.0,-57.0,-67.0,-83.0,-77.0,-67.0,-67.0,-67.0,-67.0,-72.0,-82.0,-76.0,-71.0,-71.0,-70.0,-71.0,-75.0,-82.0,-76.0,-74.0,-74.0,-72.0,-73.0,-75.0,-82.0,-76.0,-75.0,-74.0,-74.0,-75.0,-77.0,-83.0,-78.0,-75.0,-75.0,-74.0,-74.0,-76.0,-82.0,-77.0,-76.0,-75.0,-74.0,-73.0,-75.0,-82.0,-76.0,-72.0,-73.0,-71.0,-72.0
Aceh,-3.0,4.0,10.0,0.0,4.0,0.0,2.0,-2.0,4.0,2.0,-4.0,-2.0,-1.0,0.0,-4.0,-2.0,5.0,5.0,9.0,8.0,4.0,5.0,3.0,12.0,6.0,9.0,2.0,5.0,6.0,-2.0,3.0,10.0,-3.0,-6.0,-16.0,-23.0,-32.0,-25.0,-27.0,-35.0,-38.0,-30.0,-31.0,-43.0,-40.0,-41.0,-43.0,-45.0,-50.0,-51.0,-53.0,-49.0,-42.0,-45.0,-47.0,-51.0,-50.0,-55.0,-46.0,-43.0,-44.0,-44.0,-48.0,-43.0,-45.0,-37.0,-35.0,-33.0,-40.0,-55.0,-58.0,-59.0,-49.0,-53.0,-51.0,-54.0,-60.0,-57.0,-57.0,-49.0,-50.0,-47.0,-57.0,-61.0,-54.0,-55.0,-49.0,-46.0,-51.0
Adamawa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Administrative unit Maribor,27.0,8.0,1.0,3.0,3.0,4.0,9.0,27.0,17.0,-21.0,-19.0,-30.0,-17.0,-16.0,1.0,1.0,6.0,4.0,7.0,2.0,0.0,4.0,9.0,-5.0,2.0,4.0,-2.0,-32.0,-33.0,-43.0,-70.0,-70.0,-71.0,-67.0,-72.0,-65.0,-72.0,-78.0,-77.0,-79.0,-80.0,-74.0,-56.0,-69.0,-80.0,-77.0,-76.0,-76.0,-76.0,-65.0,-66.0,-73.0,-73.0,-71.0,-70.0,-71.0,-54.0,-66.0,-83.0,-74.0,-67.0,-67.0,-69.0,-48.0,-66.0,-70.0,-67.0,-67.0,-63.0,-64.0,-49.0,-52.0,-77.0,-60.0,-67.0,-59.0,-78.0,-49.0,-47.0,-60.0,-66.0,-61.0,-57.0,-57.0,-34.0,-43.0,-54.0,-60.0,-49.0
Agder,-2.0,-18.0,-11.0,-10.0,-1.0,-18.0,-8.0,-6.0,-1.0,10.0,-2.0,7.0,7.0,12.0,-12.0,-13.0,5.0,-11.0,4.0,7.0,8.0,1.0,-23.0,5.0,-11.0,-7.0,-16.0,-27.0,-17.0,-57.0,-30.0,-40.0,-40.0,-40.0,-36.0,-21.0,-39.0,-39.0,-40.0,-38.0,-34.0,-38.0,-25.0,-39.0,-33.0,-32.0,-33.0,-41.0,-31.0,-32.0,-23.0,-19.0,-22.0,-22.0,-32.0,-38.0,-40.0,-30.0,-35.0,-31.0,-30.0,-22.0,-18.0,-1.0,-17.0,-7.0,-11.0,-10.0,-8.0,-12.0,6.0,-17.0,-6.0,-15.0,-13.0,-21.0,-31.0,14.0,-4.0,-6.0,-5.0,-6.0,-4.0,-4.0,2.0,-23.0,-3.0,-7.0,-4.0
